DATE,LFWA64TTUSM647S
2011-05-01,200045536.83082402
2011-06-01,199914796.89036998
2011-07-01,200019651.602336
2011-08-01,200118858.325584
2011-09-01,200262151.26204
2011-10-01,200456727.20078802
2011-11-01,200414851.95662898
2011-12-01,200420481.94036302
2012-01-01,201013465.594719
2012-02-01,201110853.76617497
2012-03-01,201202003.88334
2012-04-01,201473055.37536803
2012-05-01,201508341.67731997
2012-06-01,201440737.404191
2012-07-01,201433498.928026
2012-08-01,201502677.278152
2012-09-01,201625482.535398
2012-10-01,201719635.390907
2012-11-01,201770012.934599
2012-12-01,201891910.789652
2013-01-01,201739435.393451
2013-02-01,201881792.813005
2013-03-01,202095618.96319398
2013-04-01,202112900.336915
2013-05-01,202295694.811747
2013-06-01,202334757.27817
2013-07-01,202341652.243429
2013-08-01,202433689.787615
2013-09-01,202612308.18282998
2013-10-01,202633970.789388
2013-11-01,202702545.62793
2013-12-01,202728127.284811
2014-01-01,202492476.859284
2014-02-01,202562201.346831
2014-03-01,202695176.816925
2014-04-01,202797602.805184
2014-05-01,202920038.84060898
2014-06-01,203093067.063154
2014-07-01,203115318.953392
2014-08-01,203212140.44797
2014-09-01,203258931.47728798
2014-10-01,203280863.464506
2014-11-01,203372306.50539002
2014-12-01,203426196.415126
2015-01-01,203881677.672699
2015-02-01,203937365.049963
2015-03-01,204002582.857745
2015-04-01,204015226.920813
2015-05-01,204230362.59587798
2015-06-01,204417861.957618
2015-07-01,204506242.716439
2015-08-01,204559605.173177
2015-09-01,204535463.706153
2015-10-01,204577740.82871097
2015-11-01,204606088.705046
2015-12-01,204719971.883341
2016-01-01,205109041.65046
2016-02-01,205160366.155412
2016-03-01,205292070.821932
2016-04-01,205240071.983526
2016-05-01,205442378.37464902
2016-06-01,205612595.26531202
2016-07-01,205723487.50833398
2016-08-01,205722751.98286098
2016-09-01,205756717.633331
2016-10-01,205821868.59670702
2016-11-01,205809670.54416502
2016-12-01,205949549.780144
2017-01-01,205342254.319514
2017-02-01,205347752.127733
2017-03-01,205264374.824909
2017-04-01,205392659.671543
2017-05-01,205501003.482342
2017-06-01,205688632.747876
2017-07-01,205739862.857579
2017-08-01,205724162.574882
2017-09-01,205703643.54675698
2017-10-01,205670306.83099002
2017-11-01,205657364.70798
2017-12-01,205803414.904926
2018-01-01,206339755.175823
2018-02-01,206306534.75588998
2018-03-01,206369798.284667
2018-04-01,206275890.198489
2018-05-01,206525964.226618
2018-06-01,206662085.68688798
2018-07-01,206657108.058252
2018-08-01,206664065.506818
2018-09-01,206653520.510472
2018-10-01,206619492.303273
2018-11-01,206643920.42926502
2018-12-01,206765524.982483
2019-01-01,206188158.309618
2019-02-01,206153547.283657
2019-03-01,206100350.805793
2019-04-01,206171529.25301298
2019-05-01,206452621.97533402
2019-06-01,206567089.400526
2019-07-01,206406260.881787
2019-08-01,206409629.13055402
2019-09-01,206340650.820385
2019-10-01,206243123.37191498
2019-11-01,206319010.023126
2019-12-01,206391384.862959
2020-01-01,205728425.963236
2020-02-01,205599412.83494797
2020-03-01,205438908.897841
2020-04-01,206960543.251994
2020-05-01,206768663.885903
2020-06-01,205477881.142368
2020-07-01,205343253.869397
2020-08-01,205776571.962796
2020-09-01,206140481.719758
2020-10-01,206083357.195755
2020-11-01,206168045.857647
2020-12-01,206076857.167674
2021-01-01,204939775.645013
2021-02-01,204891740.291653
2021-03-01,205002235.10641402
2021-04-01,205377734.465275
2021-05-01,205601075.415017
2021-06-01,205363239.188096
2021-07-01,205331562.142142
2021-08-01,205351751.127088
2021-09-01,205484117.65858302
2021-10-01,205387307.985105
2021-11-01,205359963.62291
2021-12-01,205310712.77856898
2022-01-01,207093740.018198
2022-02-01,207089316.787788
2022-03-01,206999938.04117998
2022-04-01,207059872.45869902
2022-05-01,207271740.520427
2022-06-01,207401445.39510798
2022-07-01,207420666.162517
2022-08-01,207387036.06142402
2022-09-01,207471745.25549
2022-10-01,207457692.59865397
2022-11-01,207513059.336145
2022-12-01,207509052.236326
2023-01-01,208124162.297136
2023-02-01,208233187.57934698
2023-03-01,208273252.009758
2023-04-01,208386960.240031
2023-05-01,208611614.288991
